filename,width,height,class,xmin,ymin,xmax,ymax
168.jpg,400,225,Apple,173,67,219,113
870.jpg,400,225,Apple,146,17,192,63
870.jpg,400,225,Apple,41,21,84,64
870.jpg,400,225,Apple,206,28,265,87
870.jpg,400,225,Apple,8,97,51,140
870.jpg,400,225,Apple,250,113,290,153
870.jpg,400,225,Apple,84,74,139,129
1948.jpg,400,225,Apple,122,116,169,163
1948.jpg,400,225,Apple,283,91,347,155
1948.jpg,400,225,Apple,60,48,110,98
1948.jpg,400,225,Apple,222,47,278,103
1948.jpg,400,225,Apple,297,0,339,42
1948.jpg,400,225,Apple,125,50,190,115
199.jpg,400,225,Apple,289,17,360,88
199.jpg,400,225,Apple,64,21,169,126
574.jpg,400,225,Apple,190,45,244,99
574.jpg,400,225,Apple,19,95,94,170
574.jpg,400,225,Apple,44,23,100,79
574.jpg,400,225,Apple,248,102,318,172
574.jpg,400,225,Apple,257,12,322,77
1390.jpg,400,225,Apple,211,15,284,88
989.jpg,400,225,Apple,20,18,68,66
989.jpg,400,225,Apple,112,47,165,100
989.jpg,400,225,Apple,8,118,49,159
989.jpg,400,225,Apple,146,101,199,154
989.jpg,400,225,Apple,209,27,256,74
989.jpg,400,225,Apple,202,96,254,148
989.jpg,400,225,Apple,292,38,332,78
850.jpg,400,225,Apple,8,90,60,142
850.jpg,400,225,Apple,158,116,204,162
850.jpg,400,225,Apple,294,70,358,134
850.jpg,400,225,Apple,260,1,314,55
850.jpg,400,225,Apple,236,122,278,164
850.jpg,400,225,Apple,148,73,188,113
753.jpg,400,225,Apple,6,90,64,148
753.jpg,400,225,Apple,159,23,216,80
753.jpg,400,225,Apple,219,95,281,157
753.jpg,400,225,Apple,285,98,349,162
753.jpg,400,225,Apple,27,24,74,71
753.jpg,400,225,Apple,235,27,300,92
1285.jpg,400,225,Apple,151,33,215,97
1285.jpg,400,225,Apple,271,70,330,129
1285.jpg,400,225,Apple,64,77,127,140
1285.jpg,400,225,Apple,54,13,105,64
1285.jpg,400,225,Apple,296,2,345,51
1285.jpg,400,225,Apple,191,102,246,157
419.jpg,400,225,Apple,45,115,108,178
419.jpg,400,225,Apple,178,104,229,155
